participant_id,stim_type,rt,correct
10,congruent,868,TRUE
10,incongruent,477,TRUE
10,congruent,438,TRUE
10,congruent,491,TRUE
10,congruent,570,TRUE
10,incongruent,751,TRUE
10,incongruent,637,TRUE
10,incongruent,610,TRUE
10,incongruent,672,TRUE
10,incongruent,570,TRUE
10,incongruent,542,TRUE
10,incongruent,658,TRUE
10,congruent,522,TRUE
10,congruent,908,TRUE
10,congruent,625,TRUE
10,congruent,544,TRUE
10,tight,488,TRUE
10,tight,526,TRUE
10,loose,622,TRUE
10,loose,530,TRUE
10,tight,556,TRUE
10,tight,540,TRUE
10,loose,403,TRUE
10,tight,486,TRUE
10,tight,475,TRUE
10,loose,579,TRUE
10,loose,460,TRUE
10,loose,605,TRUE
10,loose,626,TRUE
10,loose,402,TRUE
10,tight,643,TRUE
10,tight,618,TRUE
20,incongruent,1054,FALSE
20,incongruent,null,FALSE
20,congruent,805,TRUE
20,congruent,1120,FALSE
20,incongruent,1411,FALSE
20,congruent,670,TRUE
20,congruent,725,TRUE
20,incongruent,null,FALSE
20,congruent,802,TRUE
20,incongruent,747,FALSE
20,congruent,648,TRUE
20,congruent,511,TRUE
20,incongruent,838,FALSE
20,incongruent,974,FALSE
20,congruent,572,TRUE
20,incongruent,1333,FALSE
20,tight,573,TRUE
20,loose,593,TRUE
20,loose,680,TRUE
20,loose,1149,TRUE
20,tight,577,TRUE
20,loose,435,TRUE
20,tight,543,TRUE
20,loose,594,TRUE
20,tight,448,TRUE
20,loose,543,TRUE
20,tight,559,TRUE
20,loose,426,TRUE
20,tight,370,FALSE
20,loose,612,TRUE
20,tight,506,TRUE
20,tight,472,TRUE
6,incongruent,521,TRUE
6,congruent,376,TRUE
6,congruent,353,TRUE
6,congruent,357,TRUE
6,incongruent,401,TRUE
6,incongruent,336,TRUE
6,congruent,420,TRUE
6,congruent,376,TRUE
6,incongruent,312,FALSE
6,incongruent,487,TRUE
6,congruent,427,TRUE
6,congruent,568,TRUE
6,incongruent,502,TRUE
6,incongruent,566,TRUE
6,congruent,507,TRUE
6,incongruent,448,TRUE
6,tight,420,TRUE
6,loose,886,TRUE
6,loose,616,TRUE
6,tight,594,TRUE
6,loose,516,TRUE
6,loose,445,TRUE
6,tight,914,TRUE
6,loose,367,TRUE
6,tight,456,TRUE
6,loose,447,TRUE
6,tight,414,TRUE
6,tight,422,TRUE
6,loose,457,TRUE
6,tight,416,TRUE
6,loose,428,TRUE
6,tight,409,TRUE
5,incongruent,1071,TRUE
5,congruent,744,TRUE
5,incongruent,null,FALSE
