participant_num,trial_index,stimulus,task,word,correct,reaction_time,length,lgSUBTLWF,freqGroup
1,2,tipsy,lexical_decision,TRUE,FALSE,6589,5,1.532,low
1,3,think,lexical_decision,TRUE,TRUE,757,5,5.138,high
1,4,ploke,lexical_decision,FALSE,TRUE,2096,NA,NA,nonword
1,5,gkfjvmd,lexical_decision,FALSE,TRUE,2260,NA,NA,nonword
1,6,going,lexical_decision,TRUE,TRUE,685,5,5.035,high
1,7,inhabit,lexical_decision,TRUE,TRUE,970,7,1.532,low
1,8,where,lexical_decision,TRUE,TRUE,654,5,4.97,high
1,9,tromple,lexical_decision,FALSE,FALSE,3061,NA,NA,nonword
1,10,ptbwx,lexical_decision,FALSE,TRUE,727,NA,NA,nonword
1,11,another,lexical_decision,TRUE,TRUE,803,7,4.415,high
1,12,trilogy,lexical_decision,TRUE,TRUE,3299,7,1.518,low
1,13,platter,lexical_decision,TRUE,TRUE,669,7,2.176,low
1,14,frosket,lexical_decision,FALSE,FALSE,924,NA,NA,nonword
1,15,talking,lexical_decision,TRUE,TRUE,837,7,4.405,high
1,16,aided,lexical_decision,TRUE,TRUE,1083,5,1.532,low
1,17,zvxqrdt,lexical_decision,FALSE,TRUE,695,NA,NA,nonword
1,18,ptwxlbn,lexical_decision,FALSE,TRUE,509,NA,NA,nonword
1,19,bcrztxl,lexical_decision,FALSE,TRUE,476,NA,NA,nonword
1,20,splinth,lexical_decision,FALSE,FALSE,709,NA,NA,nonword
1,21,pasty,lexical_decision,TRUE,TRUE,830,5,1.505,low
1,22,looking,lexical_decision,TRUE,TRUE,779,7,4.344,high
1,23,glonick,lexical_decision,FALSE,FALSE,2103,NA,NA,nonword
1,24,doubles,lexical_decision,TRUE,TRUE,979,7,2.173,low
1,25,threp,lexical_decision,FALSE,FALSE,534,NA,NA,nonword
1,26,qwsdfge,lexical_decision,FALSE,TRUE,670,NA,NA,nonword
1,27,fphql,lexical_decision,FALSE,TRUE,532,NA,NA,nonword
1,28,blong,lexical_decision,FALSE,FALSE,1778,NA,NA,nonword
1,29,glarp,lexical_decision,FALSE,FALSE,717,NA,NA,nonword
1,30,ribbons,lexical_decision,TRUE,TRUE,1649,7,2.176,low
1,31,lxzctgr,lexical_decision,FALSE,TRUE,545,NA,NA,nonword
1,32,snackle,lexical_decision,FALSE,FALSE,1119,NA,NA,nonword
1,33,brendle,lexical_decision,FALSE,FALSE,1018,NA,NA,nonword
1,34,brote,lexical_decision,FALSE,FALSE,662,NA,NA,nonword
1,35,doing,lexical_decision,TRUE,TRUE,545,5,4.72,high
1,36,knitted,lexical_decision,TRUE,TRUE,595,7,1.532,low
1,37,lbmwq,lexical_decision,FALSE,TRUE,690,NA,NA,nonword
1,38,bkgtl,lexical_decision,FALSE,TRUE,640,NA,NA,nonword
1,39,kwilt,lexical_decision,FALSE,FALSE,698,NA,NA,nonword
1,40,woven,lexical_decision,TRUE,TRUE,826,5,1.518,low
1,41,nothing,lexical_decision,TRUE,TRUE,493,7,4.639,high
1,42,stend,lexical_decision,FALSE,FALSE,509,NA,NA,nonword
1,43,heaving,lexical_decision,TRUE,TRUE,464,7,1.505,low
1,44,claster,lexical_decision,FALSE,FALSE,666,NA,NA,nonword
1,45,thing,lexical_decision,TRUE,TRUE,479,5,4.745,high
1,46,denim,lexical_decision,TRUE,TRUE,951,5,1.532,low
1,47,morning,lexical_decision,TRUE,TRUE,454,7,4.35,high
1,48,zxcvb,lexical_decision,FALSE,TRUE,554,NA,NA,nonword
1,49,hmfjpwb,lexical_decision,FALSE,TRUE,518,NA,NA,nonword
1,50,right,lexical_decision,TRUE,FALSE,438,5,5.311,high
1,51,flirp,lexical_decision,FALSE,FALSE,1685,NA,NA,nonword
1,52,through,lexical_decision,TRUE,TRUE,750,7,4.448,high
1,53,cjvgy,lexical_decision,FALSE,TRUE,676,NA,NA,nonword
1,54,trinity,lexical_decision,TRUE,TRUE,2022,7,2.176,low
1,55,qwsdf,lexical_decision,FALSE,TRUE,742,NA,NA,nonword
1,56,vqnfksp,lexical_decision,FALSE,TRUE,648,NA,NA,nonword
1,57,plimber,lexical_decision,FALSE,FALSE,1028,NA,NA,nonword
1,58,sized,lexical_decision,TRUE,TRUE,1307,5,1.518,low
